what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1367477952443
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1367477952443
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1367477952443
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1367477952443
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1367477952443
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1367477952443
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1367477952443
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1367477952443
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1367477952443
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1367477952443
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367477952443
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1367477952459
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367477952459
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1367477952459
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1367477952459
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1367477952459
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1367477952459
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1367477952459
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1367477952459
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1367477952459
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1367477952459
os,sysinfo,,,"win32",1367477952459
arch,sysinfo,,,"x86",1367477952459
ws,sysinfo,,,"win32",1367477952459
locale,sysinfo,,,"en_US",1367477952459
processors,sysinfo,,,"2",1367477952459
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367477952459
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1367477952459
java.specification.name,sysinfo,,,"Java Platform API Specification",1367477952459
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367477952459
java.specification.version,sysinfo,,,"1.7",1367477952459
java.vendor,sysinfo,,,"Oracle Corporation",1367477952459
java.version,sysinfo,,,"1.7.0_17",1367477952459
java.vm.info,sysinfo,,,"mixed mode, sharing",1367477952459
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367477952459
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367477952459
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367477952459
java.vm.specification.version,sysinfo,,,"1.7",1367477952459
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367477952459
java.vm.version,sysinfo,,,"23.7-b01",1367477952459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367477952490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367477955205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367477956453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478276399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478279550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478419100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478420458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478435809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478436651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478461876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478464280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478464764
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367478464936
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1367478465763
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1367478465778
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1367478465778
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1367478465778
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1367478465778
