what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367833416303
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367833419345
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1367833423151
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367833428268
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367833436739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367833440530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367833440873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367833441762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833445194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833462448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367833472291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367833497875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833506892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833507719
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367833509840
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367833512612
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1367833515358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833520553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833520615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833523485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833586858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833593878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833705071
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1367833716276
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1367833716302
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1367833716312
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1367833716407
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1367833716411
