what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1367879982101
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1367879982335
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367880160177
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1367880179100
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367880186666
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367880186744
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1367880206447
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1367880206540
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367880220705
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1367880230582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1367880230582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880256525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880280831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880291096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880310660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880312501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880317025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880317930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880333046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880335292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880389519
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367880391110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880407443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880419112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880454649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880464399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880473026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367880488860
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367880560401
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367880560713
