what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832905612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832912024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832928419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832940977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832943161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367832952131
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367832952771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832959448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367832971522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367832983550
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367832985266
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367832996296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367832996452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833000960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833008261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367833012894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1367833018354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367833018885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367833046156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833069244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833069369
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1367833069384
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367833087262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833102013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833104727
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367833107646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367833123807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833127696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833129334
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1367833129412
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367833129802
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1367833130722
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1367833130722
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1367833130769
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1367833130784
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1367833130784
