what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1367827996432
java.specification.name,sysinfo,,,"Java Platform API Specification",1367827996432
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367827996432
java.specification.version,sysinfo,,,"1.7",1367827996432
java.vendor,sysinfo,,,"Oracle Corporation",1367827996432
java.version,sysinfo,,,"1.7.0_17",1367827996432
java.vm.info,sysinfo,,,"mixed mode, sharing",1367827996432
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367827996432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367827996432
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367827996432
java.vm.specification.version,sysinfo,,,"1.7",1367827996432
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367827996432
java.vm.version,sysinfo,,,"23.7-b01",1367827996432
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1367827998641
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367827999246
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1367827999558
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1367827999827
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1367828000175
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1367828000255
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1367828000932
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1367828000961
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367828001765
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1367828001767
