what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1367924137962
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1367924137963
os,sysinfo,,,"win32",1367924137967
arch,sysinfo,,,"x86",1367924137967
ws,sysinfo,,,"win32",1367924137967
locale,sysinfo,,,"en_US",1367924137967
processors,sysinfo,,,"2",1367924137967
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367924137967
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1367924137967
java.specification.name,sysinfo,,,"Java Platform API Specification",1367924137967
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367924137967
java.specification.version,sysinfo,,,"1.7",1367924137967
java.vendor,sysinfo,,,"Oracle Corporation",1367924137967
java.version,sysinfo,,,"1.7.0_17",1367924137967
java.vm.info,sysinfo,,,"mixed mode, sharing",1367924137967
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367924137967
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367924137967
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367924137967
java.vm.specification.version,sysinfo,,,"1.7",1367924137967
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367924137967
java.vm.version,sysinfo,,,"23.7-b01",1367924137967
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1367924138162
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1367924138196
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1367924138253
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1367924138444
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1367924138662
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1367924138674
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1367924138732
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1367924139314
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1367924139352
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1367924141849
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1367924142261
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1367924142351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924146604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924148221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924148282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924148707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367924148713
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1367924149169
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1367924150705
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1367924150715
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1367924150716
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1367924150735
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1367924150741
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1367924150782
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1367924150851
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1367924150861
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1367924150877
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1367924158202
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1367924160082
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1367924163041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924164416
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1367924164627
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1367924164632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367924166247
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1367924166381
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1367924166665
