what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367884297414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884300160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367884303093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884305557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367884308365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884311485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884315042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884315635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884315822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884327007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884342031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884380526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884384043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884387227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884392597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884395608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884398715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884403869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884407070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884409746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884417002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884419966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884421932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884423926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884429611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884432648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884434083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884436090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884440552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884443383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367884443514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884446274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884448072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884453237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884458155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884460573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884466127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884470808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884473354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884477737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884482137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884485008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884489143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367884495991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884503916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884509064
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1367884534991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884543493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367884543712
