what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990426207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990444329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990445033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990447690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990474880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990476895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990526777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990527045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990527868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990548132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990554468
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1367990556261
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1367990556318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367990559161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990559701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990659775
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990659844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990660140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990660974
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1367990690167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990692807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990695908
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1367990698199
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1367990698200
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990705111
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367990723830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990732267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990743550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990749336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990749772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990755761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990761767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990766686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990781837
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990785996
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1367990788095
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990789900
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1367990793368
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1367990795416
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990796425
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1367990797903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990801311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990854745
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367990854755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990903576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367990921639
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367990942044
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1367990947206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367990963935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367990972172
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1367990978866
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1367990980752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367990994477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367990995915
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1367991010478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367991011377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367991018467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991020126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991025518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991044643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991047811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991049879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367991053255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367991060118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367991062095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367991123589
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367991132669
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1367991135590
